abdbid,mcc,precision,recall,aucroc,f1
6y92_1P,-0.02109808661202671,0.0,0.0,0.49696969696969695,0.0
3hmx_0P,0.0,0.0,0.0,0.5,0.0
3hi1_1P,0.23076146394560948,0.3333333333333333,0.25,0.6011092150170648,0.28571428571428575
6orq_0P,-0.01489991307012534,0.0,0.0,0.4956616052060738,0.0
4lmq_1P,0.08625819491779428,0.3333333333333333,0.375,0.5446428571428572,0.35294117647058826
3j1s_0P,-0.0038722331736959366,0.0,0.0,0.49902912621359224,0.0
1bvk_1P,-0.19694833074523696,0.06060606060606061,0.25,0.3506637168141593,0.0975609756097561
6flc_0P,0.26014561828674815,0.3333333333333333,0.5,0.6512345679012346,0.4
6ek2_1P,-0.1419712173585392,0.0,0.0,0.4513888888888889,0.0
6wdt_0P,0.16405251859051723,0.2,0.16666666666666666,0.5750345781466113,0.1818181818181818
7eng_0P,-0.012177682241706867,0.08333333333333333,0.05263157894736842,0.4950657894736842,0.06451612903225808
4liq_0P,-0.009752368720068674,0.0,0.0,0.4989130434782609,0.0
4i2x_1P,-0.03980171279553048,0.0,0.0,0.49125874125874125,0.0
6xsw_0P,-0.048292964469025194,0.0,0.0,0.49019607843137253,0.0
7r8l_0P,0.02974089582579658,0.2,0.06666666666666667,0.5090909090909091,0.1
5umi_1P,0.011288091024643274,0.11428571428571428,0.4444444444444444,0.5089194699286442,0.1818181818181818
4zfg_0P,-0.008999491543091319,0.06382978723404255,0.2,0.4926829268292683,0.0967741935483871
7the_0P,0.05978134918656098,0.16666666666666666,0.10526315789473684,0.5242224880382774,0.12903225806451615
7m7w_0P,-0.08199200616907878,0.0,0.0,0.4714285714285714,0.0
3p11_0P,-0.024645493862891058,0.0,0.0,0.4927835051546392,0.0
2zch_0P,0.10188632332566958,0.15384615384615385,0.2857142857142857,0.566468253968254,0.2
6iea_0P,-0.06643294778489989,0.0,0.0,0.459866220735786,0.0
4d3c_0P,0.07505236339476375,0.2,0.07142857142857142,0.5230560578661845,0.10526315789473682
6b0a_0P,0.04546986714276255,0.25,0.04,0.5097260273972603,0.06896551724137932
6x87_0P,0.0,0.0,0.0,0.5,0.0
2ypv_0P,-0.037841285914950444,0.0,0.0,0.4910313901345291,0.0
2adf_0P,-0.0870475053945474,0.0,0.0,0.4647058823529412,0.0
7mem_0P,-0.08872178282598278,0.0,0.0,0.4435215946843854,0.0
7x7u_2P,-0.07903718467733488,0.0,0.0,0.47126436781609193,0.0
6wzt_0P,-0.016470203238503216,0.0,0.0,0.49682875264270615,0.0
7sts_1P,0.20887610455277095,0.15555555555555556,0.7,0.6847826086956522,0.2545454545454545
7kez_0P,-0.2147286063481912,0.034482758620689655,0.07142857142857142,0.3607142857142857,0.046511627906976744
6vja_0P,0.0633653145588753,0.16666666666666666,0.07692307692307693,0.5220141700404858,0.10526315789473684
6hjq_1P,-0.017635925464364047,0.0,0.0,0.4973821989528796,0.0
7cho_1P,0.07060406801607322,0.25,0.07692307692307693,0.5206043956043955,0.11764705882352941
6ute_0P,0.07686617872411645,0.13793103448275862,0.4,0.5579545454545454,0.20512820512820515
7fjc_0P,0.031013352280293033,0.10526315789473684,0.13333333333333333,0.5172480620155039,0.11764705882352941
5c0n_1P,0.06400444624924574,0.13333333333333333,0.18181818181818182,0.5367424242424242,0.15384615384615383
5vjo_0P,-0.13995306438415034,0.1076923076923077,0.35,0.40397196261682244,0.16470588235294117
7f0x_0P,0.21163466775372636,0.25,0.2727272727272727,0.610200845665962,0.2608695652173913
7wrl_0P,0.080043436263368,0.12698412698412698,0.7619047619047619,0.5611849390919158,0.21768707482993196
5ukr_0P,0.21113877335864917,0.36363636363636365,0.17391304347826086,0.5745451742213998,0.2352941176470588
5o4g_0P,0.045150561304800656,0.07407407407407407,0.1,0.5260536398467434,0.0851063829787234
7t10_0P,-0.06788442333021306,0.0,0.0,0.43548387096774194,0.0
2qqn_0P,0.1759485340183939,0.2,0.3333333333333333,0.6103286384976526,0.25
7kfw_0P,0.01907879356773808,0.2,0.06060606060606061,0.5056116722783389,0.0930232558139535
6ddm_0P,-0.08223422828074596,0.0,0.0,0.4807692307692308,0.0
4olw_0P,0.1062233798941994,0.2222222222222222,0.125,0.5406931464174455,0.16
5fhc_0P,-0.10425720702853737,0.0,0.0,0.42391304347826086,0.0
7jic_0P,0.0,0.0,0.0,0.5,0.0
7f12_0P,-0.01787755471750269,0.058823529411764705,0.25,0.4838235294117647,0.09523809523809523
7rth_10P,0.21733490085288246,1.0,0.05555555555555555,0.5277777777777778,0.10526315789473684
7mdp_0P,0.09548185434457807,0.175,0.35,0.5627551020408164,0.23333333333333334
5ggt_0P,-0.07211279672253024,0.0,0.0,0.4845360824742268,0.0
1orq_0P,-0.06950320582656101,0.0,0.0,0.46634615384615385,0.0
5vcn_1P,-0.14104473411395618,0.0,0.0,0.415,0.0
5l6y_0P,-0.18447353643107964,0.0,0.0,0.4032258064516129,0.0
7a5r_0P,-0.021456217909832417,0.0,0.0,0.4952015355086372,0.0
3vrl_1P,0.0,0.0,0.0,0.5,0.0
1kip_0P,-0.16952847858967607,0.07575757575757576,0.29411764705882354,0.37473739495798325,0.12048192771084337
6ww5_1P,-0.08449656673659706,0.0,0.0,0.46296296296296297,0.0
